LoggerLight version 1.3.0, 7/18/2018 9:17:42 AM, rapid sampling mode. Time is number of seconds past midnight of 7/18/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.549521E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
33482.8,0.3811167,6.222367,14.75342,194.4372,23.37389,4.076876E-02,9.638247,18.73438,0.5692213,9.058845,20.49836,253.6322,9.595788,19.71094,
33483.09,0.3735865,6.370308,16.48045,230.2715,23.34021,1.452569E-02,9.638247,18.73438,0.5687691,9.054318,20.48144,253.415,9.595788,19.71094,
33483.38,0.4069096,6.60988,16.02252,217.6896,23.37414,0.0222243,9.638247,18.73438,0.5699115,9.059337,20.50518,254.007,9.595788,19.71094,
33483.67,0.3981379,6.435741,15.17791,202.4965,23.32216,8.279641E-03,9.638247,18.73438,0.5695294,9.059245,20.51041,254.6286,9.595788,19.71094,
33483.97,0.4511044,7.204493,16.52445,215.3557,23.36387,2.159485E-02,9.638247,18.73438,0.5690392,9.056001,20.49183,254.261,9.595788,19.71094,
33484.27,0.3447124,5.78859,14.08416,182.601,23.35868,2.793774E-02,9.638247,18.73438,0.5695494,9.060161,20.48907,253.9721,9.595788,19.71094,
33484.58,0.3914263,6.543747,16.78667,238.0586,23.35591,3.873516E-02,9.638247,18.73438,0.5702576,9.074986,20.54216,255.3853,9.595788,19.71094,
33484.9,0.4806019,7.583944,17.20906,227.1565,23.33765,2.130434E-02,9.638247,18.73438,0.5710158,9.079288,20.56599,256.2556,9.595788,19.71094,
33485.2,0.3473436,5.878562,14.40261,186.7374,23.34041,2.028754E-02,9.638247,18.73438,0.5699535,9.074144,20.55856,256.4883,9.595788,19.71094,
33485.49,0.3713818,6.331481,17.12506,249.6485,23.28087,2.038438E-02,9.638247,18.73438,0.5694793,9.065641,20.55715,256.7719,9.595788,19.71094,
33485.79,0.4929951,7.792886,17.8805,239.7029,23.32213,0.0304071,9.638247,18.73438,0.5700815,9.063182,20.57086,257.6125,9.595788,19.71094,
